"year","quarter","project","dwelling units- sub-standard (dwelling units)","urban renewal grants approved/reserved (dollars)","urban renewal grants dispursed (dollars)","dwelling units- standard (dwelling units)","non-white families (families)","proposed reuse of project land- total (acres)","proposed reuse of project land- streets, alleys, public rights of way (acres)","proposed reuse of project land- residential (acres)","proposed reuse of project land- commercial (acres)","Federal Project Grants (dollars)","project status (letter)"
1955,"December","Commonwealth","",,,"","432","83.5","29.4","48.1","6","2778","2"
1956,"December","Commonwealth","352",,,"121","432","83.5","29.4","48.1","6","2778","2"
1957,"March","Commonwealth",,"2036088","920821",,,,,,,,
1957,"December","Commonwealth","352",,,"121","432","83.5","29.4","48.1","6","3198","2"
1958,"December","Commonwealth","352","2066659","1431652","121","432","83.5","29.4","48.1","6","3198","2"
1959,"December","Commonwealth","352","2066659","1431652","121","432","83.5","29.4","48.1","6","3198",
1960,"June","Commonwealth",,,,,,,,,,,"2"
1960,"December","Commonwealth","352","2107967","1431652","121","432","83.5","29.4","48.1","6","3240",
1961,"September","Commonwealth",,"2107967","1431652",,,,,,,,
1961,"December","Commonwealth","352",,,"121","432","83.5","29.4","48.1","6","3240","2"
1962,"December","Central (Fs)",,"","",,,,,,,,
1962,"December","Commonwealth","352","1969502","1431652","121","432","83.5","29.4","48.1","6","3567","2"
1963,"December","Commonwealth","352",,,"121","432","83.5","29.4","48.1","6","3567","2"
1964,"December","Commonwealth","352",,,"121","432","83.5","29.4","48.1","6","3567","2"
1965,"December","Commonwealth",,,,,,,,,,,"2"
1966,"June","Commonwealth","352",,,"121","432","83.5","29.4","48.1","6","3591",
1966,"December","Central (Fs)",,"","",,,,,,,,
1966,"December","Commonwealth",,"2131234","1991052",,,,,,,,"2"
1966,"December","Downtown East",,"2089000","",,,,,,,,
1966,"December","Kimball Ave",,"2011000","",,,,,,,,
1967,"December","Central (Fs)",,"","",,,,,,,,
1967,"December","Commonwealth",,"2131234","1991052",,,,,,,,
1967,"December","Downtown East",,"2089000","",,,,,,,,
1967,"December","Kimball Ave",,"2011000","",,,,,,,,
1968,"June","Central (Fs)",,"","",,,,,,,,
1968,"June","Commonwealth",,"2131234","1991052",,,,,,,,
1968,"June","Downtown East",,"2089000","",,,,,,,,
1968,"June","Kimball Ave",,"2011000","",,,,,,,,
1970,"December","Central (Fs)",,"","",,,,,,,,
1970,"December","Commonwealth",,"2372917","2325073",,,,,,,,
1970,"December","Downtown East",,"4227973","1100000",,,,,,,,
1970,"December","Kimball Ave",,"4710633","1291660",,,,,,,,
1970,"December","Neighborhood Dev Prog",,"","",,,,,,,,
1972,"June","Central (Fs)",,"","",,,,,,,,
1972,"June","Commonwealth",,"2329744","2329744",,,,,,,,
1972,"June","Downtown East",,"4227973","3440846",,,,,,,,
1972,"June","Kimball Ave",,"4710633","2311413",,,,,,,,
1972,"June","Neighborhood Dev Prog",,"1612670","",,,,,,,,
1974,"June","Central (Fs)",,"","",,,,,,,,
1974,"June","Commonwealth",,"2329744","2329744",,,,,,,,
1974,"June","Downtown East",,"5128104","3817942",,,,,,,,
1974,"June","Kimball Ave",,"5251752","3024383",,,,,,,,
1974,"June","Neighborhood Dev Prog",,"2669226","510373",,,,,,,,
